IMDB_rating,IMDB_title,IMDB_titleID,IMDB_title_name
5.2 based on 19 user ratings,Jandino: Whatever it Takes,/title/tt6999080/, Jandino: Whatever it Takes (2016) (TV Special) 
"7.2 based on 1,623 user ratings",Marc Maron: Too Real,/title/tt7335938/, Marc Maron: Too Real (2017) (TV Special) 
6.3 based on 310 user ratings,Mo Gilligan: Momentum,/title/tt10847330/, Mo Gilligan: Momentum (2019) (TV Special) 
6.6 based on 904 user ratings,Def Comedy Jam 25,/title/tt7427130/, Def Comedy Jam 25 (2017) (TV Special) 
6.8 based on 835 user ratings,Jeff Dunham: Beside Himself,/title/tt10847194/, Jeff Dunham: Beside Himself (2019) (TV Special) 
"6.6 based on 2,451 user ratings",Iliza Shlesinger: Confirmed Kills,/title/tt6081882/, Iliza Shlesinger: Confirmed Kills (2016) (TV Special) 
"7.0 based on 5,107 user ratings",Jerry Before Seinfeld,/title/tt7310906/, Jerry Before Seinfeld (2017) (TV Special) 
8.1 based on 920 user ratings,Sebastian Maniscalco: What's Wrong with People?,/title/tt2215489/, Sebastian Maniscalco: What's Wrong with People? (2012) (TV Special) 
5.9 based on 632 user ratings,Cedric the Entertainer: Live from the Ville,/title/tt5753806/, Cedric the Entertainer: Live from the Ville (2016) (TV Special) 
"8.7 based on 2,820 user ratings",Norm Macdonald Has a Show,/title/tt8139862/, Norm Macdonald Has a Show (2018) (TV Series) 
"6.4 based on 1,098 user ratings",Jeff Dunham: Relative Disaster,/title/tt7364706/, Jeff Dunham: Relative Disaster (2017) (TV Special) 
"8.6 based on 2,227 user ratings",Daniel Sloss: Live Shows,/title/tt8858472/, Daniel Sloss: Live Shows (2018) (TV Mini-Series) 
"8.2 based on 8,200 user ratings",Bill Burr: Paper Tiger,/title/tt10847306/, Bill Burr: Paper Tiger (2019) (TV Special) 
"6.7 based on 1,794 user ratings",Iliza Shlesinger: War Paint,/title/tt2836376/, Iliza Shlesinger: War Paint (2013) (TV Special) 
7.3 based on 525 user ratings,Mo Amer: The Vagabond,/title/tt9060526/, Mo Amer: The Vagabond (2018) (TV Special) 
6.9 based on 628 user ratings,Deon Cole: Cole Hearted,/title/tt10977680/, Deon Cole: Cole Hearted (2019) (TV Special) 
"6.6 based on 1,647 user ratings",Russell Peters: Almost Famous,/title/tt5946232/, Russell Peters: Almost Famous (2016) (TV Special) 
