show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Genre,description
80117401,Movie,Jandino: Whatever it Takes,,Jandino Asporaat,United Kingdom,09-Sep-16,2016,TV-MA,94 min,Stand-Up Comedy,Comedy,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
80177405,Movie,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,05-Sep-17,2017,TV-MA,70 min,Stand-Up Comedy,Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
81054495,Movie,Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,30-Sep-19,2019,TV-MA,64 min,Stand-Up Comedy,Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
80151483,Movie,Def Comedy Jam 25,Louis J. Horvitz,"Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole",United States,26-Sep-17,2017,TV-MA,82 min,Stand-Up Comedy,Comedy,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."""
81074113,Movie,Jeff Dunham: Beside Himself,Troy Miller,Jeff Dunham,United States,24-Sep-19,2019,TV-MA,58 min,Stand-Up Comedy,Comedy,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture."
80106966,Movie,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,Iliza Shlesinger,United States,23-Sep-16,2016,TV-MA,78 min,Stand-Up Comedy,Comedy,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all."
80163156,Movie,Jerry Before Seinfeld,Michael Bonfiglio,Jerry Seinfeld,United States,19-Sep-17,2017,TV-14,62 min,Stand-Up Comedy,Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy."
70229037,Movie,Sebastian Maniscalco: What's Wrong with People?,Manny Rodriguez,Sebastian Maniscalco,United States,17-Sep-19,2012,TV-14,76 min,Stand-Up Comedy,Comedy,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special."
80108371,Movie,Cedric the Entertainer: Live from the Ville,Troy Miller,Cedric the Entertainer,United States,16-Sep-16,2016,TV-MA,60 min,Stand-Up Comedy,Comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk."""
80225949,TV Show,Norm Macdonald Has a Show,,,United States,14-Sep-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
80158670,Movie,Jeff Dunham: Relative Disaster,Michael Simon,Jeff Dunham,United States,12-Sep-17,2017,TV-MA,71 min,Stand-Up Comedy,Comedy,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.
80223685,TV Show,Daniel Sloss: Live Shows,,Daniel Sloss,United States,11-Sep-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,"Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent."
81060174,Movie,Bill Burr: Paper Tiger,Mike Binder,Bill Burr,"United States, United Kingdom",10-Sep-19,2019,TV-MA,67 min,Stand-Up Comedy,Comedy,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
70278877,Movie,Iliza Shlesinger: War Paint,Jay Chapman,Iliza Shlesinger,United States,01-Sep-13,2013,NR,75 min,Stand-Up Comedy,Comedy,"""Last Comic Standing"" winner Iliza Shlesinger unleashes her acerbic, stream-of-conscious comedy on an unsuspecting audience in her hometown of Dallas."
80239503,Movie,Mo Amer: The Vagabond,Stan Lathan,Mo Amer,United States,09-Oct-18,2018,TV-MA,57 min,Stand-Up Comedy,Comedy,"Arab-American comedian Mo Amer recounts his life as a refugee comic, from traveling with the name Mohammed to his long path to citizenship."
80995737,Movie,Deon Cole: Cole Hearted,Ryan Polito,Deon Cole,United States,08-Oct-19,2019,TV-MA,70 min,Stand-Up Comedy,Comedy,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp."""
80115464,Movie,Russell Peters: Almost Famous,Dave Higby,Russell Peters,United States,07-Oct-16,2016,TV-MA,73 min,Stand-Up Comedy,Comedy,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human."
80208273,Movie,Judah Friedlander: America Is the Greatest Country in the United States,Judah Friedlander,Judah Friedlander,United States,31-Oct-17,2017,TV-MA,84 min,Stand-Up Comedy,Comedy,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1."
80191665,Movie,Rodney Carrington: Here Comes the Truth,Brandon Jones,Rodney Carrington,United States,03-Oct-17,2017,TV-MA,66 min,Stand-Up Comedy,Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight."
81148672,Movie,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,Arsenio Hall,United States,29-Oct-19,2019,TV-MA,63 min,Stand-Up Comedy,Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes."
80197912,TV Show,Beyond Stranger Things,,"Jim Rash, Matt Duffer, Ross Duffer, Shawn Levy, David Harbour, Finn Wolfhard, Millie Bobby Brown, Gaten Matarazzo, Caleb McLaughlin, Natalia Dyer, Charlie Heaton, Noah Schnapp, Joe Keery, Dacre Montgomery, Sadie Sink, Paul Reiser, Sean Astin, Randy Havens, Brett Gelman, Linnea Berthelsen",United States,27-Oct-17,2017,TV-14,1 Season,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",Comedy,"Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. Caution: spoilers ahead!"
80158919,Movie,Jack Whitehall: At Large,Brian Klein,Jack Whitehall,United Kingdom,24-Oct-17,2017,TV-MA,68 min,Stand-Up Comedy,Comedy,"Comedian Jack Whitehall takes the stage to tell stories about drinking, drugs, a Google Maps van and his ongoing rivalry with Robert Pattinson."
80224536,Movie,ADAM SANDLER 100% FRESH,Steve Brill,Adam Sandler,United States,23-Oct-18,2018,TV-MA,74 min,Stand-Up Comedy,Comedy,"From ""Heroes"" to ""Ice Cream Ladies"" – Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way."
81027753,Movie,Jenny Slate: Stage Fright,Gillian Robespierre,Jenny Slate,United States,22-Oct-19,2019,TV-MA,67 min,"Documentaries, Stand-Up Comedy",Comedy,"Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home."
80117443,Movie,Joe Rogan: Triggered,Anthony Giordano,Joe Rogan,United States,21-Oct-16,2016,TV-MA,64 min,Stand-Up Comedy,Comedy,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins."
80010717,Movie,Wyatt Cenac: Brooklyn,Wyatt Cenac,Wyatt Cenac,United States,21-Oct-14,2014,TV-MA,68 min,Stand-Up Comedy,Comedy,Wyatt Cenac heads to Brooklyn to share his observations on the borough that's the backdrop for three sitcoms and a reality show about cheesemongers.
80046779,Movie,Anjelah Johnson: Not Fancy,Jay Karas,Anjelah Johnson-Reyes,United States,02-Oct-15,2015,TV-14,64 min,Stand-Up Comedy,Comedy,"The actress, comedian and YouTube sensation riffs on everything from nail salons and Gypsies to Mexican moms and super-sleuthing Liam Neeson."
80177406,Movie,Patton Oswalt: Annihilation,Bobcat Goldthwait,Patton Oswalt,United States,17-Oct-17,2017,TV-MA,66 min,Stand-Up Comedy,Comedy,"By turns scathing and candid, Patton Oswalt reflects on the glut of comic material in the Trump era and the dark days following a personal tragedy."
80244900,Movie,"Ron White: If You Quit Listening, I'll Shut Up",Tom Forrest,Ron White,United States,16-Oct-18,2018,TV-MA,63 min,Stand-Up Comedy,Comedy,"Ron “Tater Salad” White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese."
80043049,Movie,Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,Anthony Jeselnik,United States,16-Oct-15,2015,TV-MA,59 min,Stand-Up Comedy,Comedy,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
80990869,Movie,"Martin Matte: La vie, la mort...eh la la..!",Jean-François Blais,Martin Matte,Canada,14-Oct-19,2019,TV-14,62 min,Stand-Up Comedy,Comedy,"Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special."
70293417,TV Show,Russell Peters vs. the World,,Russell Peters,United States,14-Oct-13,2013,NR,1 Season,"Docuseries, Stand-Up Comedy & Talk Shows",Comedy,"A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record-breaking ""Notorious"" world tour."
70280748,Movie,Russell Peters: Notorious,Dave Higby,Russell Peters,United States,14-Oct-13,2013,NR,72 min,Stand-Up Comedy,Comedy,"Global comedy star Russell Peters leaves no ethnic or cultural stereotype unsatirized in this outrageous standup appearance in Sydney, Australia."
80205204,Movie,Christina P: Mother Inferior,Jay Karas,Christina Pazsitzky,United States,10-Oct-17,2017,TV-MA,59 min,Stand-Up Comedy,Comedy,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth."
80003481,Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,Chelsea Handler,United States,10-Oct-14,2014,TV-MA,71 min,Stand-Up Comedy,Comedy,"In her first Netflix stand-up comedy special, Chelsea Handler recounts her African adventures (and provides hilarious photographic evidence)."
81002876,Movie,Nikki Glaser: Bangin’,Nicholaus Goossen,Nikki Glaser,United States,01-Oct-19,2019,TV-MA,64 min,Stand-Up Comedy,Comedy,"Nikki Glaser bares all in a blistering stand-up special about sex, sobriety and getting over her own insecurities. And she won't spare you the details."
70211216,Movie,Kevin Hart: Laugh at My Pain,"Leslie Small, Tim Story",Kevin Hart,United States,01-Oct-18,2011,R,89 min,Stand-Up Comedy,Comedy,"Sometimes edgy and always hilarious, comedian Kevin Hart shines in this theatrical version of his record-breaking 2011 live tour."
70140322,Movie,Kevin Hart: Seriously Funny,Shannon Hartman,Kevin Hart,United States,01-Oct-18,2010,TV-MA,67 min,Stand-Up Comedy,Comedy,"With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance."
81058497,Movie,Seth Meyers: Lobby Baby,Neal Brennan,Seth Meyers,United States,05-Nov-19,2019,TV-MA,61 min,Stand-Up Comedy,Comedy,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.
80225421,Movie,John Leguizamo's Latin History for Morons,,John Leguizamo,United States,05-Nov-18,2018,TV-MA,90 min,Stand-Up Comedy,Comedy,"In this one-man Broadway show, John Leguizamo finds humor and heartbreak as he traces 3,000 years of Latin history in an effort to help his bullied son."
80117461,Movie,"Dana Carvey: Straight White Male, 60",Marcus Raboy,Dana Carvey,United States,04-Nov-16,2016,TV-MA,64 min,Stand-Up Comedy,Comedy,Emmy-winning comedian Dana Carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials.
80216094,TV Show,Bumping Mics with Jeff Ross & Dave Attell,,"Jeff Ross, Dave Attell",United States,27-Nov-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy,"When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend."
81062293,Movie,Mike Birbiglia: The New One,Seth Barrish,Mike Birbiglia,United States,26-Nov-19,2019,TV-MA,86 min,Stand-Up Comedy,Comedy,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.
80049871,Movie,Michael Che Matters,Oz Rodriguez,Michael Che,United States,25-Nov-16,2016,TV-MA,61 min,Stand-Up Comedy,Comedy,"""SNL"" star Michael Che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in Brooklyn."
70091304,Movie,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,,Mike Birbiglia,United States,22-Nov-19,2008,TV-14,56 min,Stand-Up Comedy,Comedy,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.
80134827,Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,Brian Regan,United States,21-Nov-17,2017,TV-PG,61 min,Stand-Up Comedy,Comedy,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places."
80239932,Movie,Trevor Noah: Son of Patricia,David Paul Meyer,Trevor Noah,United States,20-Nov-18,2018,TV-MA,64 min,Stand-Up Comedy,Comedy,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special."
81073633,Movie,Iliza Shlesinger: Unveiled,Steve Paley,Iliza Shlesinger,United States,19-Nov-19,2019,TV-MA,78 min,Stand-Up Comedy,Comedy,"Here comes the bride, and she's got plenty to say. Newlywed Iliza Shlesinger dissects wedding traditions as she mines her nuptials for laughs."
70230138,Movie,Donald Glover: Weirdo,"Shannon Hartman, Michelle Caputo",Donald Glover,United States,19-Nov-16,2012,NR,65 min,Stand-Up Comedy,Comedy,"Fearlessly funny stand-up comic and sitcom star Donald Glover puts on a live show in New York, confessing his love for Cocoa Puffs and Toys ""R"" Us."
80117534,Movie,Colin Quinn: The New York Story,Jerry Seinfeld,Colin Quinn,United States,18-Nov-16,2016,TV-MA,62 min,Stand-Up Comedy,Comedy,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality. Directed by Jerry Seinfeld."
80013267,Movie,Jeff Dunham: All Over the Map,Robb Dipple,Jeff Dunham,United States,16-Nov-19,2014,TV-14,84 min,Stand-Up Comedy,Comedy,"America's most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter."
80191804,Movie,DeRay Davis: How to Act Black,Marcus Raboy,DeRay Davis,United States,14-Nov-17,2017,TV-MA,66 min,Stand-Up Comedy,Comedy,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man."
80004534,Movie,Chelsea Peretti: One of the Greats,Lance Bangs,Chelsea Peretti,United States,14-Nov-14,2014,NR,75 min,Stand-Up Comedy,Comedy,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special."
80058424,Movie,John Mulaney: The Comeback Kid,Rhys Thomas,John Mulaney,United States,13-Nov-15,2015,TV-MA,62 min,Stand-Up Comedy,Comedy,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton."
